"","Title","Year","Length","Budget","LogBudget"
"183","American Gigolo",1980,117,"4800000",6.68124123737559
"184","American Graffiti",1973,110,"777000",5.89042101880091
"185","American History X",1998,119,"10000000",7
"186","American Jedi",2002,8,"2000",3.30102999566398
"187","American Me",1992,125,"16000000",7.20411998265593
"188","American Ninja 2: The Confrontation",1987,90,"350000",5.54406804435028
"189","American Outlaws",2001,94,"35000000",7.54406804435028
"190","American Pie",1999,95,"11000000",7.04139268515823
"191","American Pie 2",2001,105,"30000000",7.47712125471966
"192","American President, The",1995,114,"62000000",7.79239168949825
"193","American Psycho",2000,102,"8000000",6.90308998699194
"194","American Raspberry",1977,75,"50000",4.69897000433602
"195","American Wedding",2003,103,"55000000",7.74036268949424
"196","American Werewolf in London, An",1981,92,"10000000",7
"197","American Werewolf in Paris, An",1997,105,"22000000",7.34242268082221
"198","American Yearbook",2004,90,"500000",5.69897000433602
"199","American in Paris, An",1951,113,"2723903",6.43519163800036
"200","Amistad",1997,152,"40000000",7.60205999132796
"201","Amityville Horror, The",2005,90,"18000000",7.25527250510331
"202","Amor y el espanto, El",2001,110,"650000",5.81291335664286
"203","Amores perros",2000,153,"2000000",6.30102999566398
"204","Anaconda",1997,89,"45000000",7.65321251377534
"205","Anacondas: The Hunt for the Blood Orchid",2004,97,"25000000",7.39794000867204
"206","Analyze This",1999,109,"30000000",7.47712125471966
"207","Anastasia",1997,94,"53000000",7.72427586960079
"208","Anatomy of a Fight",2003,80,"17000",4.23044892137827
"209","Anchorman: The Legend of Ron Burgundy",2004,104,"26000000",7.41497334797082
"210","And Baby Makes Three",1949,84,"700000",5.84509804001426
"211","And I Lived",2005,107,"20000",4.30102999566398
"212","And Now for Something Completely Different",1971,85,"100000",5
"213","And Then Came Summer",2000,115,"2300",3.36172783601759
"214","Andy",1985,73,"125000",5.09691001300806
"215","Andy in Love",2004,11,"4000",3.60205999132796
"216","Angel Eyes",2001,102,"38000000",7.57978359661681
"217","Angel Heart",1987,113,"17000000",7.23044892137827
"218","Angela's Ashes",1999,145,"25000000",7.39794000867204
"219","Anger Management",2003,106,"75000000",7.8750612633917
"220","Angry Red Planet, The",1960,83,"190000",5.27875360095283
"221","Anima",2003,26,"50000",4.69897000433602
"222","Animal House",1978,109,"3000000",6.47712125471966
"223","Animal, The",2001,84,"22000000",7.34242268082221
"224","Animatrix: Final Flight of the Osiris, The",2003,11,"5000000",6.69897000433602
"225","Ann Vickers",1933,76,"303000",5.4814426285023
"226","Anna Christie",1930,89,"376000",5.57518784492766
"227","Anna Karenina",1935,95,"1152000",6.06145247908719
"228","Anna and the King",1999,148,"75000000",7.8750612633917
"229","Annie",1982,126,"50000000",7.69897000433602
"230","Annie Get Your Gun",1950,107,"3768785",6.57620136271442
"231","Annie Hall",1977,93,"4000000",6.60205999132796
"232","Another Language",1933,77,"272297",5.43504285657822
"233","Another Woman",1988,84,"10000000",7
"234","Another You",1991,94,"26000000",7.41497334797082
"235","Anthony Adverse",1936,141,"1050500",6.02139605674197
"236","Anthrax",2001,90,"2500000",6.39794000867204
"237","Antikiller",2002,114,"5000000",6.69897000433602
"238","Antitrust",2001,108,"30000000",7.47712125471966
"239","Antman, The",2002,94,"800000",5.90308998699194
"240","Antony and Cleopatra",1972,160,"1600000",6.20411998265593
"241","Antwone Fisher",2002,117,"12500000",7.09691001300806
"242","Antz",1998,83,"60000000",7.77815125038364
"243","Anus Magillicutty",2003,70,"5000",3.69897000433602
"244","Any Given Sunday",1999,156,"62000000",7.79239168949825
"245","Any Number Can Play",1949,112,"1465641",6.16602760549456
"246","Anyone",2004,8,"1000",3
"247","Anything Else",2003,108,"18000000",7.25527250510331
"248","Anything Goes",1936,92,"1100000",6.04139268515823
"249","Anywhere But Here",1999,114,"23000000",7.36172783601759
"250","Apache Woman",1955,69,"80000",4.90308998699194
"251","Aparte",2002,91,"90000",4.95424250943933
"252","Apartment Zero",1988,124,"4000000",6.60205999132796
"253","Apartment, The",1960,125,"3000000",6.47712125471966
"254","Apocalypse Now",1979,202,"31500000",7.4983105537896
"255","Apollo 13",1995,140,"62000000",7.79239168949825
"256","Apostle, The",1997,134,"5000000",6.69897000433602
"257","Appointment, The",1996,89,"45000",4.65321251377534
"258","Apt Pupil",1998,112,"14000000",7.14612803567824
"259","Arachnophobia",1990,103,"31000000",7.49136169383427
"260","Arc",2004,30,"9000",3.95424250943932
"261","Arch of Triumph",1948,133,"5000000",6.69897000433602
"262","Are These Our Children",1931,84,"400000",5.60205999132796
"263","Are We There Yet?",2005,95,"32000000",7.50514997831991
"264","Are You Popular?",1947,10,"11000",4.04139268515823
"265","Argentino en New York, Un",1998,95,"3000000",6.47712125471966
"266","Aristocats, The",1970,78,"4000000",6.60205999132796
"267","Arizona",1940,121,"2000000",6.30102999566398
"268","Arlington Road",1999,117,"21500000",7.3324384599156
"269","Armageddon",1998,153,"140000000",8.14612803567824
"270","Armed Response",1986,86,"1500000",6.17609125905568
"271","Army of Darkness",1993,96,"11000000",7.04139268515823
"272","Around the Fire",1999,106,"1200000",6.07918124604763
"273","Around the World in 80 Days",2004,120,"110000000",8.04139268515823
"274","Around the World in Eighty Days",1956,175,"6000000",6.77815125038364
"275","Arrangement",2004,109,"3200000",6.50514997831991
"276","Art Thief Musical!",2004,20,"25000",4.39794000867204
"277","Arthur",1981,97,"7000000",6.84509804001426
"278","Artie Shaw: Time Is All You've Got",1985,114,"250000",5.39794000867204
"279","Artificial Intelligence: AI",2001,146,"90000000",7.95424250943933
"280","Artists and Models",1955,109,"1500000",6.17609125905568
"281","As Good as It Gets",1997,139,"50000000",7.69897000433602
"282","As You Desire Me",1932,70,"460733",5.66344931970793
"283","Asburied",2002,8,"2000",3.30102999566398
"284","Ascension",2004,85,"5500",3.74036268949424
"285","Asesino en serio",2002,84,"2500000",6.39794000867204
"286","Ash Wednesday",2005,23,"4999",3.69888313675259
"287","Assassination of Trotsky, The",1972,103,"2500000",6.39794000867204
"288","Assassins",1995,132,"50000000",7.69897000433602
"289","Assault of the Killer Bimbos",1988,85,"250000",5.39794000867204
"290","Assault on Precinct 13",1976,91,"100000",5
"291","Assault on Precinct 13",2005,109,"20000000",7.30102999566398
"292","Assisted Living",2003,78,"500000",5.69897000433602
"293","Asterix in Amerika",1994,85,"12500000",7.09691001300806
"294","Astronaut's Wife, The",1999,109,"34000000",7.53147891704226
"295","Aswang",1994,82,"70000",4.84509804001426
"296","Asylum of Satan",1975,80,"50000",4.69897000433602
"297","At Close Range",1986,111,"6500000",6.81291335664286
"298","At First Sight",1999,128,"40000000",7.60205999132796
"299","At Long Last Love",1975,105,"6000000",6.77815125038364
"300","At Night with No Curtains",2004,87,"8000",3.90308998699194
"301","Atlantic City",1980,104,"7200000",6.85733249643127
"302","Atlantida",2002,93,"1000000",6
"303","Atlantis: The Lost Empire",2001,95,"90000000",7.95424250943933
"304","Atlas",1961,79,"70000",4.84509804001426
"305","Atomic Submarine, The",1959,72,"135000",5.13033376849501
"306","Atrapados",1999,26,"3500",3.54406804435028
"307","Attack of the 50 Foot Woman",1958,65,"88000",4.94448267215017
"308","Attack of the Crab Monsters",1957,62,"70000",4.84509804001426
"309","Attack of the Giant Leeches",1959,62,"70000",4.84509804001426
"310","Attic Expeditions, The",2001,100,"1000000",6
"311","Attic Man",2004,10,"6000",3.77815125038364
"312","Attila",1954,100,"900000",5.95424250943933
"313","Auch Zwerge haben klein angefangen",1970,96,"200000",5.30102999566398
"314","Aura",2002,22,"19000",4.27875360095283
"315","Aurora",1998,87,"90000",4.95424250943933
"316","Austerlitz",1960,122,"4000000",6.60205999132796
"317","Austin Powers in Goldmember",2002,94,"63000000",7.79934054945358
"318","Austin Powers: International Man of Mystery",1997,94,"17000000",7.23044892137827
"319","Austin Powers: The Spy Who Shagged Me",1999,95,"33000000",7.51851393987789
"320","Auteur Theory, The",1999,79,"70000",4.84509804001426
"321","Auto Focus",2002,105,"7000000",6.84509804001426
"322","Automation",2004,26,"41000",4.61278385671974
"323","Autumn in New York",2000,103,"40000000",7.60205999132796
"324","Avalon",2001,106,"8000000",6.90308998699194
"325","Avanti popolo",1986,84,"60000",4.77815125038364
"326","Avanti!",1972,140,"2750000",6.43933269383026
"327","Avatars",2001,5,"20000",4.30102999566398
"328","Avengers, The",1998,89,"60000000",7.77815125038364
"329","Aviator, The",2004,170,"116000000",8.06445798922692
"330","Awfully Big Adventure, An",1995,112,"4000000",6.60205999132796
"331","Ayurveda: Art of Being",2001,102,"300000",5.47712125471966
"332","BUtterfield 8",1960,109,"2500000",6.39794000867204
"333","Babe",1995,89,"30000000",7.47712125471966
"334","Babe: Pig in the City",1998,97,"80000000",7.90308998699194
"335","Babel",1999,95,"20000000",7.30102999566398
"336","Babes in Arms",1939,93,"748000",5.87390159786446
"337","Babes on Broadway",1941,118,"940068",5.97315926951102
"338","Baby Blue",2001,119,"2500000",6.39794000867204
"339","Baby Boy",2001,130,"16000000",7.20411998265593
"340","Baby Face",1933,71,"187000",5.2718416065365
"341","Baby Geniuses",1999,97,"13000000",7.11394335230684
"342","Baby It's You",1983,105,"3000000",6.47712125471966
"343","Baby's Day Out",1994,99,"50000000",7.69897000433602
"344","Bacheha-Ye aseman",1997,89,"180000",5.25527250510331
"345","Bachelor Father, The",1931,90,"502000",5.70070371714502
"346","Bachelor, The",1999,101,"21000000",7.32221929473392
"347","Back to God's Country",1919,73,"67000",4.82607480270083
"348","Back to the Future",1985,111,"19000000",7.27875360095283
"349","Back to the Future Part II",1989,108,"40000000",7.60205999132796
"350","Back to the Future Part III",1990,118,"40000000",7.60205999132796
"351","Back to the Future... The Ride",1991,4,"40000000",7.60205999132796
"352","Bad Boy Bubby",1993,112,"750000",5.8750612633917
"353","Bad Boys",1995,118,"23000000",7.36172783601759
"354","Bad Boys II",2003,145,"130000000",8.11394335230684
"355","Bad Company",2002,116,"70000000",7.84509804001426
"356","Bad Dreams",1988,84,"4000000",6.60205999132796
"357","Bad Girls from Mars",1991,86,"52000",4.7160033436348
"358","Bad Moon",1996,80,"7000000",6.84509804001426
"359","Bad Santa",2003,98,"18000000",7.25527250510331
"360","Bad Seed, The",1956,129,"1000000",6
"361","Bad Taste",1987,86,"150000",5.17609125905568
"362","Bad and the Beautiful, The",1952,118,"1558000",6.19256745333655
"363","Badge, The",2002,103,"6000000",6.77815125038364
"364","Badkonake sefid",1995,85,"150000",5.17609125905568
"365","Badlands",1973,94,"500000",5.69897000433602
"366","Bait",2000,119,"35000000",7.54406804435028
"367","Ballad of Cable Hogue, The",1970,121,"3716946",6.57018625168696
"368","Ballad of Jack and Rose, The",2005,112,"1500000",6.17609125905568
"369","Ballistic: Ecks vs. Sever",2002,91,"70000000",7.84509804001426
"370","Bamboozled",2000,135,"10000000",7
"371","Bananas",1971,82,"2000000",6.30102999566398
"372","Band Wagon, The",1953,111,"2169120",6.33628357870679
"373","Band of the Hand",1986,109,"8700000",6.93951925261862
"374","Bandits",2001,123,"80000000",7.90308998699194
"375","Banger Sisters, The",2002,98,"10000000",7
"376","Bank Robbery, The",2003,2,"1000",3
"377","Baptists at Our Barbecue",2004,92,"500000",5.69897000433602
"378","Barbarella",1968,98,"9000000",6.95424250943933
"379","Barbarian and the Geisha, The",1958,105,"3500000",6.54406804435028
"380","Barbarian, The",1933,83,"444399",5.64777307300742
"381","Barbarians, The",1960,84,"750000",5.8750612633917
"382","Barbarians, The",1987,87,"4000000",6.60205999132796
"383","Barbary Coast",1935,91,"778000",5.89097959698969
"384","Barbershop",2002,102,"12000000",7.07918124604763
"385","Barbershop 2: Back in Business",2004,106,"18000000",7.25527250510331
"386","Barcelona",1994,101,"3200000",6.50514997831991
"387","Barkleys of Broadway, The",1949,109,"2325420",6.36650140333746
"388","Barn Dance, The",1929,7,"5121",3.7093547758344
"389","Barney's Great Adventure",1998,76,"15000000",7.17609125905568
"390","Barriers",1998,96,"140000",5.14612803567824
"391","Barry Lyndon",1975,184,"11000000",7.04139268515823
"392","Barton Fink",1991,116,"9000000",6.95424250943933
"393","Bashful Bachelor, The",1942,78,"165000",5.21748394421391
"394","Basic",2003,98,"50000000",7.69897000433602
"395","Basic Instinct",1992,128,"49000000",7.69019608002851
"396","Basil",1998,113,"10000000",7
"397","Basket Case 2",1990,90,"2500000",6.39794000867204
"398","Basket, The",1999,105,"3000000",6.47712125471966
"399","Bathing Beauty",1944,101,"2361000",6.37309598707873
"400","Batman",1989,126,"35000000",7.54406804435028
"401","Batman & Robin",1997,125,"110000000",8.04139268515823
"402","Batman Forever",1995,122,"100000000",8
"403","Batman Returns",1992,126,"80000000",7.90308998699194
"404","Batman: Dead End",2003,8,"30000",4.47712125471966
"405","Batoru rowaiaru",2000,122,"4500000",6.65321251377534
"406","Batoru rowaiaru II: Rekuiemu",2003,155,"9000000",6.95424250943933
"407","Battle Beyond the Stars",1980,104,"2000000",6.30102999566398
"408","Battle for the Planet of the Apes",1973,96,"1800000",6.25527250510331
"409","Battle of Britain",1969,151,"12000000",7.07918124604763
"410","Battle of Shaker Heights, The",2003,90,"1000000",6
"411","Battlefield Earth: A Saga of the Year 3000",2000,119,"73000000",7.86332286012046
"412","Be Cool",2005,118,"53000000",7.72427586960079
"413","Be Good Daniel",2004,20,"4000",3.60205999132796
"414","Beach Party",1963,101,"350000",5.54406804435028
"415","Beach, The",2000,119,"50000000",7.69897000433602
"416","Bean",1997,90,"22000000",7.34242268082221
"417","Bean Cake",2001,12,"12000",4.07918124604763
"418","Bear, The",1984,110,"221000",5.34439227368511
"419","Beast From 20,000 Fathoms, The",1953,80,"210000",5.32221929473392
"420","Beast of Yucca Flats, The",1961,54,"34000",4.53147891704226
"421","Beast of the City, The",1932,86,"230000",5.36172783601759
"422","Beast with a Million Eyes, The",1956,75,"23000",4.36172783601759
"423","Beaster",2004,10,"5000",3.69897000433602
"424","Beastmaster 2: Through the Portal of Time",1991,107,"6000000",6.77815125038364
"425","Beat the Devil",1953,100,"1000000",6
"426","Beat the Drum",2003,114,"1500000",6.17609125905568
"427","Beat, The",2003,85,"700000",5.84509804001426
"428","Beautiful",2000,112,"9000000",6.95424250943933
"429","Beautiful Country, The",2004,137,"6000000",6.77815125038364
"430","Beautiful Mind, A",2001,135,"60000000",7.77815125038364
"431","Beauty in Chaos",2004,120,"30000",4.47712125471966
"432","Beavis and Butt-Head Do America",1996,81,"12000000",7.07918124604763
"433","Because of Winn-Dixie",2005,106,"14000000",7.14612803567824
"434","Beccerra",2002,30,"3000",3.47712125471966
"435","Becket",1964,148,"3000000",6.47712125471966
"436","Becky Sharp",1935,67,"950000",5.97772360528885
"437","Bedazzled",2000,93,"48000000",7.68124123737559
"438","Bedknobs and Broomsticks",1971,139,"20000000",7.30102999566398
"439","Beer Muscles",2004,90,"5000",3.69897000433602
"440","Beetle Juice",1988,92,"15000000",7.17609125905568
"441","Before Sunrise",1995,105,"2500000",6.39794000867204
"442","Before Sunset",2004,80,"10000000",7
"443","Begotten",1991,78,"33000",4.51851393987789
"444","Behind Enemy Lines",2001,106,"40000000",7.60205999132796
"445","Behold a Pale Horse",1964,121,"3900000",6.5910646070265
"446","Being Human",1993,122,"30000000",7.47712125471966
"447","Being John Malkovich",1999,113,"13000000",7.11394335230684
"448","Being Julia",2004,104,"18000000",7.25527250510331
"449","Bela Donna",1998,111,"5500000",6.74036268949424
"450","Bela Lugosi Meets a Brooklyn Gorilla",1952,74,"50000",4.69897000433602
"451","Bellboy, The",1960,72,"900000",5.95424250943933
"452","Belle of New York, The",1952,82,"2606644",6.41608172185001
"453","Belle of the Nineties",1934,73,"800000",5.90308998699194
"454","Bells Are Ringing",1960,127,"2203123",6.34303874441817
"455","Bells of Innocence",2003,110,"2750000",6.43933269383026
"456","Belly",1998,96,"10000000",7
"457","Belly of the Beast",2003,91,"18000000",7.25527250510331
"458","Beloved",1998,172,"53000000",7.72427586960079
"459","Below the Belt",2004,95,"1500000",6.17609125905568
"460","Ben-Hur",1925,151,"3900000",6.5910646070265
"461","Ben-Hur",1959,214,"15000000",7.17609125905568
"462","Beneath the Planet of the Apes",1970,95,"3000000",6.47712125471966
"463","Beneath the Valley of the Ultra-Vixens",1979,93,"239000",5.37839790094814
"464","Benji",1974,86,"500000",5.69897000433602
"465","Beowulf",1999,99,"20000000",7.30102999566398
"466","Best Foot Forward",1943,94,"1125502",6.05134627107194
"467","Best Laid Plans",1999,92,"7000000",6.84509804001426
"468","Best Years of Our Lives, The",1946,172,"2100000",6.32221929473392
"469","Best in Show",2000,90,"6000000",6.77815125038364
"470","Betrayal",2003,90,"750000",5.8750612633917
"471","Better Luck Tomorrow",2002,98,"250000",5.39794000867204
"472","Better Place, A",1997,87,"100000",5
"473","Better Than Sex",2002,92,"300000",5.47712125471966
"474","Bettie Page: Dark Angel",2004,90,"50000",4.69897000433602
"475","Beverly Hills Cop",1984,105,"15000000",7.17609125905568
"476","Beverly Hills Cop II",1987,100,"20000000",7.30102999566398
"477","Beverly Hills Cop III",1994,104,"50000000",7.69897000433602
"478","Beyond Atlantis",1973,91,"200000",5.30102999566398
"479","Beyond Borders",2003,127,"35000000",7.54406804435028
"480","Beyond Expectations",1998,94,"60000",4.77815125038364
"481","Beyond Rangoon",1995,100,"23000000",7.36172783601759
